Imagen,Varianza,Media,Desviación estándar,Entropía,Contraste,Homogeneidad,Disimilitud,Energía,Correlación,Media GLCM,Desviación GLCM,Entropía GLCM,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,HOG_mean,HOG_std,KAZE_count,KAZE_mean,KAZE_std,ORB_count,ORB_mean,ORB_std,AKAZE_count,AKAZE_mean,AKAZE_std,LoG_mean,LoG_std,Distancia ecluediana imagen original
binary.png,15898.627014726022,146.41092238030663,126.08975777090708,-635351400.0,13078.351942446043,0.7988750354866355,51.28765467625899,0.5920167478998791,0.5885610684028874,1.52587890625e-05,0.002312515080599339,1.1810579356997548,0.0010286635062487371,1.3766332022743724e-07,5.0040923069283065e-12,3.2229343865030507e-12,-1.1049178731808575e-23,-4.2560911763609457e-16,6.740970212499184e-24,0.12191567569971085,0.11276715248823166,6365,0.07586267590522766,0.09934713691473007,500,134.854875,74.08369887319594,4748,119.20676868258593,94.12165632863731,0.019464300763861755,69.81101714097171,8.185515789337548e-06
binary_resized.png,11936.694025271112,146.3828,109.25517848262896,-850991360.0,5644.57314691152,0.5121232940830923,41.69072621035058,0.34552360077660477,0.763406082846242,1.52587890625e-05,0.0013496153101384965,5.940730151019524,0.0009508002196212777,5.023644524545793e-09,1.0305588013153213e-11,7.7423433801905e-12,4.5892431293055835e-23,3.3482672200068e-17,5.173752137380829e-23,0.14213809370994568,0.08527437597513199,8674,0.07590443640947342,0.09931523352861404,500,133.9153125,74.4158300734954,6590,119.12440607975323,93.76609679734753,0.012169444444444445,53.46482695519614,6.967789486099439e-05
blur.png,1781.2033248612336,132.88077397506913,42.204304577391554,-514588800.0,46.92847194244605,0.18598759250122585,5.211852278177458,0.01821747084012232,0.9842857808821809,1.5258789062499998e-05,6.950682668276927e-05,8.337367655718936,0.0009156630263656557,1.087056628615467e-07,2.1482242289359543e-12,3.620497708371656e-12,-2.0913934287985734e-24,-1.06101569251705e-15,9.87802707293502e-24,0.14015401899814606,0.08973495662212372,1659,0.07500963658094406,0.0999927669763565,500,135.245375,74.88627071172242,1292,117.26671065320002,94.98757266262189,0.0012679951885137257,6.186531876155656,0.00010481496785458759
dilated.png,1418.0729607469777,190.41593689904306,37.65730952613288,-786085570.0,120.37468009592328,0.6420817434203563,5.017028297362111,0.0611913850710225,0.9574575847946516,1.52587890625e-05,0.00023854131612961564,7.09111541033154,0.0007373127174041056,8.209840954070888e-08,1.1539126630741516e-12,4.099294154762099e-15,2.054956592678767e-28,-9.807646583811183e-19,-1.9302663372894142e-28,0.13582441210746765,0.09611146152019501,1247,0.07403106242418289,0.10071942210197449,500,134.1884375,73.7795740961453,914,113.68882950102235,94.96406776739276,0.018326552815255782,8.993844846584219,0.00028316527836104194
edges.png,15329.730674154522,97.06122003355782,123.81328957003979,-421197950.0,27606.02848920863,0.575461684722901,108.25893525179856,0.5331346444178526,0.09951214239252193,1.52587890625e-05,0.002082501303827352,1.3237367730810137,0.0018729368803382825,5.311831836086387e-07,2.741257922959441e-13,2.731507840665189e-13,-3.2267675094615646e-26,1.7759187248597514e-16,6.742048376092779e-26,0.1323753297328949,0.10089706629514694,3184,0.07913465797901154,0.0967610701918602,500,127.6501875,73.92364942097247,3718,122.63251439607052,91.06894334929294,-0.015438128730242643,76.95018281734723,0.0008524589811828024
emboss.png,9928.004276656698,130.54368262578436,99.63937111732841,-537686900.0,7732.154079616306,0.26164311741563684,59.71628585131895,0.17948447171123103,0.6106713255999596,1.52587890625e-05,0.0007009451539398387,7.853936646021856,0.0012937473915339726,2.372975263224964e-07,2.454196207933911e-12,1.936564250840017e-12,-3.748139777691264e-24,3.0544207452336473e-16,-1.94304955807892e-24,0.14882846176624298,0.07456053793430328,6176,0.07784920185804367,0.09779826551675797,500,130.317875,74.65208942477348,5181,122.30338152328338,93.34058547536628,0.012090008504378606,75.91193238179463,0.0002732694195950051
gaussian_blur.png,1992.510338884396,132.87882282033797,44.6375440507696,-515293950.0,100.6892623501199,0.1353262495989434,7.589812949640287,0.014546173027860416,0.9704344278716277,1.52587890625e-05,5.4733847644503375e-05,8.765603481626613,0.0009445574755836646,1.1604582481673e-07,2.8762287145880274e-12,3.488102932875867e-12,-5.502790250959022e-24,-8.82503338797468e-16,9.58041432330253e-24,0.14565420150756836,0.0805361196398735,2218,0.07532130181789398,0.09975820779800415,500,133.736,74.75522509497246,1768,117.96616534381722,94.57408308316813,0.004734870250764245,10.564063091929906,7.59205177064876e-05
gradient.png,1596.2041154446638,128.31204557121077,39.95252326755676,-492791900.0,409.2148335731416,0.40798412193897027,11.47004316546763,0.03189857304890885,0.871726123027838,1.5258789062499997e-05,0.00012366598793965428,8.498034171551797,0.0014052109542807309,2.4658178175012e-07,1.537119283209863e-11,5.45108687027543e-13,-1.2286613840571747e-24,-3.822121622224252e-17,-9.900241079309638e-25,0.15048305690288544,0.07112196087837219,3603,0.07648279517889023,0.09887054562568665,500,127.63625,73.96227288920683,2725,120.45528049330727,93.1597104861249,0.037660606339209785,16.467385323077767,0.0003847329794955094
gray_scale.png,2701.91454551131,133.6712751204787,51.979943685149465,-521641400.0,1253.3132585131896,0.04390896944402564,26.52068681055156,0.007210542307135448,0.7680334460672821,1.52587890625e-05,2.3674946718404582e-05,10.123818595114175,0.0010204779905506312,1.3644120906946386e-07,4.7982493475570025e-12,3.0272770318557455e-12,-9.830897982778746e-24,-3.9627105691307095e-16,6.039223400229559e-24,0.1561792939901352,0.05761387199163437,2982,0.07593218982219696,0.0992940217256546,500,132.6786875,74.42629875102848,2494,118.34710847016446,94.2168019596863,0.010787536105301063,26.50874674191452,0.0
morph_close.png,1678.8975924959234,167.62414477363797,40.974352862442174,-676826000.0,114.35409112709831,0.6376846081911959,4.903478177458034,0.055341795209873416,0.9659124585710843,1.52587890625e-05,0.00021563970129305726,7.232648129093331,0.0007764293845068218,8.882574256316705e-08,3.3340636023961493e-12,1.4050770180896267e-13,2.0710654933521604e-26,-3.287754919080843e-17,9.391289599055163e-26,0.13256791234016418,0.10054409503936768,1390,0.07399148494005203,0.10074850171804428,500,136.7711875,73.99734256944531,1039,113.37154262452863,95.3865811637646,-0.009749388987212785,8.51345072250736,0.0002440486106888526
morph_open.png,1794.8563218197307,96.2700714827499,42.365744674438695,-352717000.0,235.7114896882494,0.63743173115191,6.813824460431654,0.05100949901158398,0.9343232047860471,1.52587890625e-05,0.00019867074599185994,7.419611743130993,0.0016932676091251757,1.7314403417000557e-07,5.680545285806157e-11,9.433479949266883e-11,-6.269775383451072e-21,-2.738225338137782e-14,2.894400689005942e-21,0.1348923295736313,0.09743707627058029,2329,0.07513506710529327,0.099898561835289,500,132.118625,74.85502356628696,1784,117.55161545247373,94.28927762705536,0.016437967836593344,12.057758841918085,0.0006727896195756809
original.png,2992.0330963660667,132.86652722550394,54.6994798546208,-519019070.0,1253.3132585131896,0.04390896944402564,26.52068681055156,0.007210542307135448,0.7680334460672821,1.52587890625e-05,2.3674946718404582e-05,10.123818595114175,0.0010204779905506312,1.3644120906946386e-07,4.7982493475570025e-12,3.0272770318557455e-12,-9.830897982778746e-24,-3.9627105691307095e-16,6.039223400229559e-24,0.15583422780036926,0.05854133516550064,2982,0.07593218982219696,0.0992940217256546,500,132.6786875,74.42629875102848,2494,118.34710847016446,94.2168019596863,0.010787536105301063,26.50874674191452,0.0
resize.png,2582.605832193823,132.73686851851852,50.819345058686295,-712636540.0,652.6247801892042,0.05950221036261218,19.050728992765723,0.008651068971091224,0.8575985265244421,1.52587890625e-05,3.0152152530910203e-05,9.78213837828002,0.000935077205365501,5.467794875372693e-09,9.658521705314513e-12,7.802306170174415e-12,4.5241698486598144e-23,2.0462854827940803e-17,5.040561673557634e-23,0.15435262024402618,0.06232600286602974,4192,0.07593493908643723,0.09929191321134567,500,133.5313125,74.45528201227462,3566,118.99207451063322,93.98197431563467,0.006691666666666667,19.842016228180416,8.540088561760959e-05
RGB.png,2992.033096366068,132.86652722550394,54.69947985462081,-519018980.0,1250.2585438848923,0.04416781307051978,26.499226858513193,0.007210506576638978,0.7666357245975067,1.5258789062499998e-05,2.3674780668555137e-05,10.117149891546735,0.001088494189042253,1.4481836868135582e-07,6.394100638914258e-12,5.5619114156679895e-12,-3.299801747933429e-23,-5.082974642778952e-16,3.358608738607013e-24,0.15583430230617523,0.058541133999824524,2955,0.07589200884103775,0.09932473301887512,500,132.923,74.3810716580502,2508,118.39890710382514,94.23648793367127,0.010603657648960704,26.480325373946922,6.801619900750483e-05
rotate.png,5782.843710672261,99.27004339020796,76.04501108338575,-389359460.0,630.2640191846525,0.3135912909469707,16.0462273381295,0.2771940489287611,0.943829532215082,1.5258789062499995e-05,0.0010826817339959919,7.734525880258784,0.0009573931939000823,5.0441562000344374e-08,7.653049108893282e-12,7.508875681996505e-12,5.484780340307128e-23,-1.1866922753861534e-16,1.5225788736226265e-23,0.12455656379461288,0.08582216501235962,2395,0.07503490149974823,0.09997382014989853,500,135.28625,75.08518702738577,2082,117.90779672761059,95.03518730548805,0.001245010381471181,19.07365827209951,6.30848552695529e-05
segmentation_by_color.png,4771.394711341485,97.85134703738606,69.07528292625,-377776100.0,2541.6392287769786,0.2101891369284721,30.81603836930456,0.17912853390782554,0.7216340069357572,1.52587890625e-05,0.0006995544418396197,8.53291051973887,0.0014300725625055295,3.05954401779774e-07,1.5831743886922066e-10,5.5655954970938524e-11,-1.143150979443111e-22,2.3735646190392277e-14,5.223094022967767e-21,0.14619532227516174,0.07925574481487274,3979,0.07559479773044586,0.09955113381147385,500,135.82225,74.21032124938888,3209,117.63247832683692,94.6319595587494,0.021866213099807692,32.91964393132248,0.0004095946070319593
segmentation_by_color_range.png,4508.76897453633,100.737194270143,67.14736759200862,-388221540.0,2599.625385131895,0.17914027953606929,31.815397601918473,0.146732245925029,0.6973519234847695,1.5258789062499998e-05,0.0005729696928086764,8.799760790239329,0.0014170378261326778,2.978044018264579e-07,1.5237739761177013e-10,5.3998029908743006e-11,1.2363105816643594e-22,2.3121965436298068e-14,4.896533862655803e-21,0.14776761829853058,0.0766143873333931,3890,0.0759105458855629,0.09931056201457977,500,135.5639375,74.35802184025671,3158,117.40391303896428,94.44729589675985,0.018966296611273283,32.76336302517025,0.000396559868412027
segmentation_kmeans.png,2119.2542906891595,132.2783907059656,46.035359135007944,-512727800.0,1534.5376690647481,0.8018673119348291,17.437928057553957,0.5986894807338213,0.5894618650673001,1.52587890625e-05,0.0023385810043215637,1.169186422037072,0.0010069820519297635,1.3393422556323425e-07,4.14778360841899e-12,2.8209273595604326e-12,-8.591291651972822e-24,-3.549360913512812e-16,4.393032808052179e-24,0.12027370929718018,0.11445266008377075,1757,0.07579026371240616,0.09940239787101746,500,133.3100625,74.53229617921411,1634,117.20306198206153,93.916756249432,0.007952743236720529,24.01179417316824,1.3495938853714343e-05
segmentation_region_growing.png,16254.76614149097,126.28186268876273,127.49418081422763,-548000960.0,19683.27021582734,0.6973015376029997,77.18929496402878,0.5375538649371645,0.39454763210039895,1.52587890625e-05,0.0020997643435536235,1.3062298227916422,0.0012361941562210313,2.1299897587183145e-07,6.722938572078559e-12,2.6283724532997954e-12,6.007586920825978e-25,-9.522698802908765e-16,1.1032323335558542e-23,0.12780827283859253,0.10613186657428741,6425,0.07666001468896866,0.09873317182064056,500,133.8771875,74.32127205309287,4900,120.31366008698562,93.74903270027778,0.0056236161230759805,75.70906386076621,0.00021571617925559305
segmentation_umbral.png,15933.181042317668,145.4741191072701,126.22670494914168,-631285950.0,13105.048057553957,0.7984644902415349,51.392345323741004,0.5909042877619997,0.5886222689466699,1.52587890625e-05,0.002308169438409908,1.1829725345049662,0.0010331073356337358,1.3826481434377413e-07,5.0769742384656166e-12,3.3519514346331545e-12,-1.1895851767881441e-23,-4.392702390077892e-16,7.0493412633279e-24,0.12203262001276016,0.11263824254274368,6384,0.07593044638633728,0.09929536283016205,500,135.031375,74.15059096601574,4741,119.34604306347488,94.05968669797394,0.01995464331410271,69.94023158138098,1.2629345214763663e-05
segmentation_watershed_contours.png,4963.723715645582,121.52783970906341,70.45369909128677,-477533470.0,2331.7979318944845,0.07460327553041375,34.50748009592326,0.04117727569182568,0.577228000309681,1.52587890625e-05,0.00016012334095666413,9.455622906248683,0.001371904720748099,2.4368956839098183e-07,1.6664784530905293e-11,6.7931857018624355e-12,-5.632266674574007e-23,1.4881584658754411e-15,-4.529858323224083e-23,0.1536056250333786,0.06415198743343353,3141,0.07593903690576553,0.09928879141807556,500,128.8531875,74.28774130763328,2765,119.92670085672783,93.11923023867642,0.06045387332306679,28.791837939859054,0.0003514267465624871
sharpen.png,11652.073891973761,135.69131914915351,107.94477241614696,-568170400.0,18435.081212470024,0.20855513913291956,99.9362954436451,0.16152558901197037,0.19956647864056,1.52587890625e-05,0.0006307747998237355,7.159640307507135,0.0012546536750378402,2.2606223296132612e-07,1.3277946746243746e-12,7.671747383845256e-13,-6.42027093380472e-25,-6.723068397733377e-17,4.328223576699657e-25,0.15537546575069427,0.059754546731710434,3346,0.07781698554754257,0.09782389551401138,500,130.13625,74.40090598196704,3591,120.32153242852121,93.31785727402615,0.02336022555757311,74.83511420935902,0.000234175701636572
